,Unnamed: 0,c5,c1,c2,c3,c4,c6,c7,c8,c9,c10,c75,c132,c134,c136,c138,c139,c140,c141,c144,c145,c147,c149,c151,c152,c153,c155,c157,c160,c162,c203,c204,c214,c233,c234,c790,c22,c23,c24,c25,c26,c27,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c102,c104,c106,c108,c110,c112,c113,c114,c115,c117,c118,c143,c240,c241,c242,c243,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c76,c250,c205,c206,c207,c208,c210,c41,c43,c45,c47,c49,c50,c52,c53,c54,c55,c56,c57,c58,c59,c119,c120,c121,c122,c126,c127,c128,c129,c130,c78,c80,c82,c84,c86,c88,c90,c92,c94,c96,c98,c100,c111,c123,c124,c125,c184,c192,c244,c40,c44,c46,c48,c51,c77,c79,c81,c83,c85,c87,c89,c91,c93,c95,c97,c99,c101,c103,c105,c107,c109,c131,c133,c135,c137,c146,c148,c150,c154,c156,c158,c161,c163,c183,c191,c229,c230,end_of_record,32
24501,24501,19790321010439A,A,91.0,0.4,F,,,,,1520,,E,D,,,,F,,1H72,1.0,H,7.0,,3O,,,,,,,,,,,,53694,CESSNA,337G,337,A6CE,CE,,,,H,,,,,,,EA,EA09,NJ,LUMBERTON,,,,360,,,,4,N,B,S,,CLER,,G10,,,,,9,6,,,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19840409.0,,,,20120808.0,F9,N,5.0,3.0,S,36.0,K,15.0,3.0,150.0,3696.0,EA,EA09,,INSTRUCTOR CHECKING OUT PILOT IN MULTIENGINE AIRPLANE. STUDENT FEATHERED WRONG ENGINE. EMERGENCY LANDING.          ,                              ,  ,    ,           ,  ,    ,      ,None                ,EQ,E,A, ,  , , , ,FX,HB,S,5,   ,Y,N,N,D, ,8,A/LINE TRANSPORT PLT,ASMEL               ,INSTRUMENT          ,QUALIFIED           ,PROFESSIONAL PILOT  ,Improper Operation E,Emergency Landing   ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Nose Up Or Over     ,Roll-Out (Fixed Wing,                    ,Pilot Induced       ,Instruction         ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,Flight Instructor   ,Re-Examination/Re-In,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, ,
24539,24539,19790207002459A,A,91.0,0.4,F,,,,,1630,,Z,Y,,,,D,,1H71,1.0,H,7.0,,3O,,,,,,,,,,,,3597A,PIPER,PA18,PA18,1A2,EA,,,,H,,,,,,,SW,SW64,TX,ORANGE,ORANGE CO,3,,,,,,1,B,B,S,,CLER,,G10,,,,,36,5,,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19840409.0,,,,20120419.0,3,N,1.0,0.0,S,35.0,K,1500.0,5.0,145.0,6500.0,SO,SO63,MS,ENGINE FAILED ON TAKEOFF. FOUND WATER IN FUEL TANKS.                                                               ,                              ,  ,    ,           ,  ,    ,      ,None                ,II,E,A, ,28, , , ,FX,IH,S,5,   ,U,U,N,F, ,8,COMMERCIAL PILOT    ,ASEL                ,RATINGS SHOWN BY 1ST,QUALIFIED           ,PROFESSIONAL PILOT  ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Nose Up Or Over     ,Forced/Precautionary,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, ,
24543,24543,19790222003429A,A,91.0,0.4,F,,,,,755,,Z,Y,,,,D,,1L71,1.0,L,7.0,,3O,,,,,,,,,,,,9871U,GULSTM,AA5A,AA5,A16EA,SO,,,,L,,,,,,,WP,WP08,CA,BIG BEAR LAKE,BIG BEAR,25,,,,,,1,B,B,S,,CLER,,G10,,DRY,,,25,10,,,2.0,2.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19840409.0,,,,20120808.0,3,N,5.0,3.0,S,37.0,C,8.0,8.0,8.0,334.0,WP,WP09,CA,ATTEMPTED TAKEOFF AT 6700 FT ALTITUDE WITH FROST ON WINGS.ACFT SETTLED ONTO ICE AND SNOW COVERED LAKE.             ,                              ,  ,    ,           ,  ,    ,      ,None                ,II,I,A, ,PP,Y,A, ,IA,IB,S,5,   ,Y,Y,N,F,A,8,COMMERCIAL PILOT    ,ASMEL               ,INSTRUMENT          ,QUALIFIED           ,SALESMAN            ,Inadequate Insp Of A,Icing On Aircraft   ,Pilot-In-Command    ,                    ,Poor Preflight Plan/,Density Altitude    ,Pilot-In-Command    ,                    ,Control Coll With Gr,To Init Climb(1st Pw,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,Pilot and Ground Cre,,, ,
24568,24568,19790412014049I,I,91.0,-5.0,F,,,,,1730,,A,X,,,,O,ATS,1H71,1.0,H,7.0,,3O,,,,,,,,,,,,77981,LUSCOM,8A,8,A694,SO,,,,H,,,,,,,CE,CE64,KS,COLBY,MUNI,,,,,,,1,N,B,S,,BRKN,4500,G10,,,,,33,20,G,28,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19840409.0,,,,20120419.0,1,N,1.0,0.0,S,32.0,O,188.0,0.0,0.0,420.0,CE,CE65,NE,PRECAUTIONARY LANDING WHEN ONE SIDE OF THE ENGINE COWL CAME OPEN DUE TO A LOOSE DZUS FASTENER.                     ,                              ,  ,    ,           ,  ,    ,      ,None                ,II,O,A, ,  , , , ,FX,DD,M,5,   ,Y,N,N,F, ,8,PRIVATE PILOT       ,ASEL                ,RATINGS SHOWN BY 1ST,QUALIFIED           ,UNKNOWN             ,Inadequate Insp Of A,Precautionary Landin,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Nose Up Or Over     ,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Personal            ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, ,
24596,24596,19790222003439A,A,91.0,,F,,,,,1500.0,,B,A,,,,F,,1H71,1.0,H,7.0,,3O,,,TR,,,,,,,,,4220V,CESSNA,170,170,A799,CE,,,,H,,,,,,,EA,EA10,PA,BLOSERVILLE,,,,,,,,1,B,B,S,,CLER,,,,,,,27,13,,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19840409.0,,,,20120419.0,1,N,1.0,0.0,S,36.0,N,113.0,0.0,0.0,310.0,EA,EA10,PA,ACRFT WAS SERVICED 65 DAYS PRIOR TO ACCIDENT. HAD NOT BEEN FLOWN PRIOR TO DATE OF ACCIDENT. WATER FOUND IN FUEL.   ,                              ,  ,    ,           ,  ,    ,      ,None                ,II,V,A, ,28, , , ,IA,DD,S,5,   ,N,N,N,F, ,8,PRIVATE PILOT       ,ASEL                ,RATINGS SHOWN BY 1ST,QUALIFIED           ,OTHER               ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Control Coll With Gr,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Discussion          ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,,, ,
24598,24598,19790204002289A,A,91.0,,F,,,,,1452.0,,Z,Y,,,,S,,1L71,1.0,L,7.0,,3O,,,,,,,,,,,,42236,PIPER,PA28151,PA28,2A13,SO,,,,L,,,,,,,NE,NE65,ME,PORTLAND,INTL,36,,,,,,1,B,B,S,,CLER,,G10,,,,,18,5,,,1.0,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19840409.0,,,,20120808.0,1,N,1.0,0.0,S,51.0,N,197.0,7.0,7.0,197.0,NE,NE65,ME,AFTER A FORCED LANDING ICE WAS FOUND IN GASCOLATOR AND IN FLEXIBLE HOSE BETWEEN AIR FILTER AND CARBURATOR.         ,                              ,  ,    ,           ,  ,    ,      ,None                ,II,E,A, ,28, , , ,IA,DD,S,5,   ,Y,Y,N,E, ,8,PRIVATE PILOT       ,ASEL                ,RATINGS SHOWN BY 1ST,QUALIFIED           ,OTHER               ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Control Coll With Gr,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, ,
24653,24653,19790319004969A,A,137.0,,F,,,,,1147.0,,Z,Y,,,,D,,1L71,1.0,L,7.0,,3O,3.0,O,,,,,,,,,,9818P,PIPER,PA25260,PA25,2A10,EA,,,,L,LYC,O540G1A5,O540,E295,EA,O,WP,WP12,CA,REDDING,MUNI,,,,,,,6,A,B,,,SCAT,,G10,,,,,36,8,,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19840409.0,,,,20120419.0,F9,N,5.0,3.0,S,30.0,K,0.0,0.0,79.0,2669.0,WP,WP12,CA,ENGINE FAILURE ON TAKEOFF. CONTAMINATED FUEL FOUND IN AIRCRAFT.                                                    ,NORTH VALLEY AV               ,CA,    ,WE1239AG   ,WP,WP25,      ,None                ,II,V,A, ,28, , , ,OC,IH,S,5,   , , , ,F, ,8,A/LINE TRANSPORT PLT,ASMEL               ,INSTRUMENT          ,QUALIFIED           ,PROFESSIONAL PILOT  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Forced Landing      ,Forced/Precautionary,                    ,Pilot Induced       ,Aerial Applicator   ,Agriculture         ,VFR                 ,                    ,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,RECIPROCATING-OPPOSED         ,                              ,                    ,                    ,                    ,                    ,,, ,
24660,24660,19790405013359I,I,91.0,,F,,,,,1845.0,,A,X,,,,O,OPP,1L71,1.0,L,7.0,,3O,,,,,,,,,,,,5530S,CESSNA,188CESSNA,188,A9CE,CE,,,,L,,,,,,,SW,SW66,TX,PANHANDLE,,,,180,,,,1,B,C,S,,,,,,,,,,,,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19840409.0,,,,20120419.0,1,N,1.0,0.0,S,26.0,O,4.0,0.0,0.0,128.0,SW,SW66,TX,PILOT ATTEMPTED TAKEOFF WITH OBSTRUCTION (MAGAZINE) BETWEEN RUDDER AND VERTICAL STABILIZER ZE.                     ,                              ,  ,    ,           ,  ,    ,      ,None                ,II,V,A, ,  , , , ,SE,IE,M,5,   ,N,N,N,F, ,8,PRIVATE PILOT       ,ASEL                ,RATINGS SHOWN BY 1ST,QUALIFIED           ,UNKNOWN             ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Other-Miscellaneous ,To Aborted (Fixed Wi,                    ,Pilot Induced       ,Personal            ,Pleasure            ,Unknown             ,Weather Not A Factor,Dusk                ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, ,
24672,24672,19790316004809A,A,91.0,,F,,,,,1530.0,,Z,Y,,,,F,,1H71,1.0,H,7.0,,3O,,,,,,,,,,,,30968,CESSNA,177B,177,A13CE,CE,,,,H,,,,,,,GL,GL65,OH,WALBRIDGE,ELLINGTON,14,,,,,,1,B,B,S,,CLER,,G10,,,,,24,13,2,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19840409.0,,,,20120419.0,1,N,1.0,0.0,S,59.0,N,63.0,1.0,1.0,332.0,GL,GL65,OH,ENGINE STOPPED ON FINAL APPROACH. AIRCRAFT STRUCK GROUND SHORT OF RUNWAY. WATER IN FUEL.                           ,                              ,  ,    ,           ,  ,    ,      ,None                ,II,E,A, ,  , , , ,DX,BI,D,5,   ,U,U,U,F, ,8,PRIVATE PILOT       ,ASEL                ,RATINGS SHOWN BY 1ST,QUALIFIED           ,OTHER               ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Undershoot Landing  ,Forced Landing      ,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, ,
24825,24825,19790421024889I,I,91.0,,F,,,,,1100.0,,B,E,,,E,O,OPP,1H71,1.0,H,7.0,,3O,3.0,O,,,,,,,,,,2014B,LUSCOM,8A,8,A694,SO,,,,H,CONT,C8512,C85,E233,SO,O,WP,WP04,CA,ROSAMOND,MUNI,25,,,,,,1,B,B,S,,CLER,,G10,,,,,,,,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19820217.0,,,,20120419.0,1,N,1.0,0.0,P,66.0,O,600.0,0.0,0.0,610.0,WP,WP14,CA,PILOT TOOK OFF WITH THE ENGINE NOT OPERATING PROPERLY. MUSHED BACK TO THE GROUND BEYOND THE RUNWAY.                ,                              ,  ,    ,           ,  ,    ,      ,None                ,AU,E,A, ,72, , , ,OC,IH,M,5,   ,U,U,N,F, ,8,PRIVATE PILOT       ,ASEL                ,RATINGS SHOWN BY 1ST,NO BIENNIAL FLIGHT R,UNKNOWN             ,Attempt Operation Wi,Emergency Landing   ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Forced Landing      ,Forced/Precautionary,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Violation           ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,RECIPROCATING-OPPOSED         ,                              ,                    ,                    ,                    ,                    ,,, ,
24830,24830,19790210002629A,A,91.0,,F,,,,,1940.0,,Z,Y,,,,F,,1H71,1.0,H,7.0,,3O,,,TR,,,,,,,,,9117G,CESSNA,182N,182,3A13,CE,,,,H,,,,,,,NM,NM64,WA,DALLESPORT,THE DALLES,30,,,,,,1,B,A,L,,OCST,7000,2,FOG,,,,0,,,,4.0,4.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19840409.0,,,,20120808.0,3,N,5.0,3.0,S,33.0,K,214.0,80.0,250.0,4000.0,NM,NM64,WA,FCD LDG AT NIGHT. HARD LDG ON APT. FUEL STAINS FOUND FROM WING DRAINS TO FUSELAGE. LESS THAN 2 GALS FUEL ONBOARD.  ,                              ,  ,    ,           ,  ,    ,      ,Instrument Flight Ru,II,E,A, ,IA,E,A, ,BX,DD,S,5,   ,Y,N,N,F,F,3,COMMERCIAL PILOT    ,ASMEL               ,INSTRUMENT          ,QUALIFIED           ,PROFESSIONAL PILOT  ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,Ac Improperly Align ,Emergency Landing   ,Pilot-In-Command    ,                    ,Hard Landing        ,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Personal            ,Pleasure            ,IFR                 ,Low Ceiling         ,Night               ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,,, ,
24865,24865,19790318010729A,A,91.0,,F,,,,,2100.0,,Z,Y,,,,F,,1L71,1.0,L,7.0,,3O,,,,,,,,,,,,8916P,PIPER,PA24260,PA24,1A15,EA,,,,L,,,,,,,GL,GL66,SD,PIERRE,PIERRE,31,,,,,,1,B,A,M,,OBSC,400,LS1,SNO,,,,33,30,G,39,3.0,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19840409.0,,,,20120808.0,3,N,1.0,3.0,S,39.0,L,1472.0,22.0,55.0,3310.0,GL,GL66,SD,ENGINE STOPPED ON EMPTY TANK DURING ILS APPROACH. WOULD NOT START ON FULL TANK. WATER IN FUEL.CRASHED SHORT OF RWY.,                              ,  ,    ,           ,  ,    ,      ,Instrument Flight Ru,II,Z,A, ,28, , , ,DX,BF,S,8,   ,N,N,N,F, ,3,COMMERCIAL PILOT    ,ASEL                ,INSTRUMENT          ,QUALIFIED           ,LAWYER              ,Inadequate Insp Of A,Weather             ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Undershoot Landing  ,Final Approach-IFR  ,                    ,Pilot And Maintenanc,Personal            ,Pleasure            ,IFR                 ,Heavy Snow          ,Night               ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, ,
24898,24898,19790309032649A,A,135.0,,F,,,,,2300.0,,Z,Y,,,,F,,1L72,1.0,L,7.0,,3R,,,,,,,,,,,,847U,BEECH,G18S,18,A765,CE,,,,L,,,,,,,GL,GL13,WI,CLINTONVILLE,MUNI,32,,180,,,,5,T,B,S,,CLER,,G10,,DRY,,,14,7,,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19840409.0,,,,20120419.0,3,N,5.0,3.0,S,37.0,K,0.0,0.0,0.0,2000.0,GL,GL13,WI,"CARGO DOOR CAME OPEN IN FLIGHT. AFTER LANDING,THE DOOR WAS PROPERLY LATCHED. THE FAILURE COULD NOT BE DUPLICATED.  ",BRENNAN AIR FRE               ,WI,    ,13GL41     ,GL,GL13,      ,None                ,II,V,A, ,  , , , ,,DA,S,5,   ,N,N,N,F, ,8,COMMERCIAL PILOT    ,ASMEL               ,INSTRUMENT          ,QUALIFIED           ,PROFESSIONAL PILOT  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Airframe Failure-In ,Normal Cruise       ,                    ,Pilot Induced       ,Air Taxi (Non-Schedu,Cargo               ,VFR                 ,Weather Not A Factor,Night               ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, ,
24923,24923,19790421024749I,I,91.0,,F,,,,,1730.0,,Y,J,,,S,O,ATS,1L71,1.0,L,7.0,,3O,,,,,,,,,,,,7966P,PIPER,PA24,PA24,1A15,EA,,,,L,,,,,,,GL,GL63,MI,OTISVILLE,RIXPORT,36,,,,,,1,B,B,S,,SCAT,,G10,,,,,27,5,G,7,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19840409.0,,,,20120808.0,1,N,6.0,0.0,S,42.0,O,75.0,0.0,0.0,159.0,GL,GL63,MI,ENGINE QUIT SOON AFTER TAKEOFF. WATER AND DEBRIS FOUND IN THE FUEL SYSTEM.                                         ,                              ,  ,    ,           ,  ,    ,      ,None                ,II,E,A, ,  , , , ,OC,IB,M,5,   ,U,U,N,F, ,8,PRIVATE PILOT       ,ASEL ASES           ,RATINGS SHOWN BY 1ST,QUALIFIED           ,UNKNOWN             ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Forced Landing      ,To Init Climb(1st Pw,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,"FAA Sts, Policies Or",Other               ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, ,
25004,25004,19790224007709I,I,135.0,,F,,,,,858.0,,Z,Y,,,,O,ATS,1L72,1.0,L,7.0,,3R,,,,,,,,,,,,8794,BEECH,18*,18,A765,CE,,,,L,,,,,,,NE,NE61,RI,PROVIDENCE,TF GREEN STATE,5,,,,,,B,T,A,H,,OCST,800,1,RAI,WET,,,15,6,,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19811107.0,,,,20120419.0,3,N,5.0,3.0,S,25.0,O,615.0,0.0,0.0,2236.0,WP,WP08,CA,WINDSHIELD FOGGED UP DUE TO INOP HEATER. LANDED LONG AFTER APPROACH AND RAN OFF DEPARTURE END OF RUNWAY.           ,GREAT WESTERN AIRLINES IN     ,OK,GWS ,SWTUL20T   ,SW,SW67,      ,Instrument Flight Ru,AU,2,A, ,21, , , ,EX,HA, ,8,   ,U,U,N,A, ,3,COMMERCIAL PILOT    ,ASMEL               ,INSTRUMENT          ,QUALIFIED           ,UNKNOWN             ,Attempt Operation Wi,"Windshield-Oil,Fog,I",Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Overshoot Landing   ,Level Off Touchdown ,                    ,Pilot And Maintenanc,A/T Com (Sched 5/Mor,Cargo               ,IFR                 ,Light Rain          ,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,Pilot and Ground Cre,                    ,,, ,
25044,25044,19790210002639A,A,91.0,,N,,,,,1605.0,,X,,,,,S,,1L71,1.0,L,7.0,,3O,,,,,,,,,,,,86724,BLANCA,1413,1413,A773,EA,,,,L,,,,,,,WP,WP10,CA,COMPTON,COMPTON,25,,,,,,1,G,B,S,,SCAT,,,HAZ,DRY,GD,,27,10,,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19840409.0,,,,20120419.0,1,N,1.0,0.0,S,43.0,N,0.0,0.0,0.0,90.0,WP,WP10,CA,AIRCRAFT CRASHED ON FIRST TEST FLIGHT AFTER REBUILDING. AILERON CONTROLS REVERSED.                                 ,                              ,  ,    ,           ,  ,    ,      ,None                ,II,F,A, ,  , , , ,IB,IB,D,8,   ,N,N,N,I, ,8,PRIVATE PILOT       ,ASEL                ,RATINGS SHOWN BY 1ST,QUALIFIED           ,OTHER               ,Inadequate Insp Of A,Fire After Crash    ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Uncontroll Coll With,To Init Climb(1st Pw,                    ,Pilot And Maintenanc,Personal            ,Test Flight         ,VFR                 ,Weather Not A Factor,Day                 ,"R S & FAA St, Polici",                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, ,
25073,25073,19790224007469I,I,91.0,,F,,,,,1400.0,,A,X,,,,O,OTH,1H71,1.0,H,7.0,,3O,,,,ZA,,,,,,,,7625G,CESSNA,150L,150,3A19,CE,,,,H,,,,,,,GL,GL03,IL,MONEE,,,,,,,,4,X,B,S,,OCST,1400,7,,,,,4,18,,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19811107.0,,,,20120419.0,F3,N,10.0,3.0,S,78.0,O,2000.0,0.0,0.0,14908.0,GL,GL03,IL,ENGINE QUIT LEVEL FLIGHT. LEFT TANK EMPTY AND ICE IN RIGHT TANK. GAS SEDIMENT BOWL WOULD NOT DRAIN.                ,                              ,  ,    ,           ,  ,    ,      ,None                ,II,V,A, ,28, , , ,OC,DD,M,8,   ,U,U,N,F, ,8,COMM PILOT FLIGHT IN,ASMEL ASES          ,INSTRUMENT          ,QUALIFIED           ,UNKNOWN             ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Forced Landing      ,Fcd/Prec Ldg From Cr,                    ,Pilot And Maintenanc,Instruction         ,Training            ,VFR                 ,Weather Not A Factor,Day                 ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,                              ,Unscheduled Landing ,                    ,                    ,                    ,,, ,
25074,25074,19790216014249A,A,91.0,,F,,,,,2030.0,,Z,Y,,,,D,,1H71,1.0,H,7.0,,3O,,,,,,,,,,,,8296Z,CESSNA,2105,210,3A21,CE,,,,H,,,,,,,SO,SO67,AL,MOBILE,BATES,36,,,,,,1,B,B,S,,OCST,3000,10,,,,,36,10,,,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19840409.0,,,,20120419.0,1,N,5.0,0.0,S,41.0,N,472.0,30.0,32.0,1132.0,SO,SO67,AL,PILOT TOOK OFF WITH GUST LOCK IN PLACE.                                                                            ,                              ,  ,    ,           ,  ,    ,      ,None                ,II,E,A, ,  , , , ,IB,IB,S,5,   ,Y,N,N,F, ,8,PRIVATE PILOT       ,ASMEL               ,RATINGS SHOWN BY 1ST,QUALIFIED           ,OTHER               ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Uncontroll Coll With,To Init Climb(1st Pw,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Night               ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, ,
