,c5,c119,c78,c80,c86,c77,c79,c81,c85,c87,c89,c91,c93,c95,c97,c99,c101,c103,c105,c107,c109,c131,c133,c135,c137,c146,c148,c150,c154,c161,c163,c183,c191,remark
12,19761021035989A,pilot PREOCCUPIED WITH PREV NOSE WHEEL VIBRATION DIDN'T OBSERVE GR SAFE LGT  WIND GUSTING 23KTS ,AU,V,32,Attempt Operation Wi,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Loss Of Dir Ctl-Grnd,Roll-Out (Fixed Wing,                    ,Pilot Induced       ,Personal            ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,pilot PREOCCUPIED WITH PREV NOSE WHEEL VIBRATION DIDN'T OBSERVE GR SAFE LGT  WIND GUSTING 23KTS 
13,19760730023679A,"ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED NOT TIME TO EXT GEAR MANUALLY ",ME,O,GE,Fail/Incorrect Use M,Precautionary Landin,Pilot-In-Command    ,Fail To Use/Misuse E,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Wheels-Up Landing   ,In Traffic Pattern-C,                    ,Pilot Induced       ,Personal            ,None Or Other       ,VFR                 ,Weather Not A Factor,Night               ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED NOT TIME TO EXT GEAR MANUALLY "
14,19760715023479A,GRASS FIRE ONLY  SKID CAUGHT UNDER REFUELING LINE ,DE,F,  ,"Defic, Co Maintain E",Fire After Crash    ,Pilot-In-Command    ,,                    ,                    ,                    ,Collision With Other,Hovering,                    ,Pilot Induced       ,Air Taxi (Non-Schedu,Passengers          ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,ROTARY WING-HELI/GYROCOPTER   ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,GRASS FIRE ONLY  SKID CAUGHT UNDER REFUELING LINE 
15,19761119035559A,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR pilot UN maintain FLT ",ME,V,  ,Fail/Incorrect Use M,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Uncontroll Coll With,To Init Climb(1st Pw,                    ,Pilot Induced       ,Business            ,Industrial          ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR pilot UN maintain FLT "
16,19770225003319A,NO NARRATIVE AVAILABLE,II,V,FP,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,Fail Follow Approved,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Uncontroll Coll With,To Init Climb(1st Pw,                    ,Pilot Induced       ,Personal            ,Test Flight         ,VFR                 ,Frontal Activity    ,Day                 ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,NO NARRATIVE AVAILABLE
17,19770506041719A,"R ENG,L MAG EXCESSIVE DROP  ATTMPTD FEATHER right PROP,UN FEATHER DUE PRESSURE SWITCH MALFUNCTION ",AU,D,72,Attempt Operation Wi,Ditching            ,Pilot-In-Command    ,,                    ,                    ,                    ,Control Coll With Gr,Fcd/Prec Ldg From Cr,                    ,Pilot And Maintenanc,Business            ,None Or Other       ,VFR                 ,Weather Not A Factor,Night               ,                    ,                    ,                    ,                    ,OVER 12500 LBS                ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"R ENG,L MAG EXCESSIVE DROP  ATTMPTD FEATHER right PROP,UN FEATHER DUE PRESSURE SWITCH MALFUNCTION "
18,19770120001659A,RUDDER GUST LOCK ENGAGED ICE ON WINGS OVERWEIGHT,AU,I,TX,Attempt Operation Wi,Icing On Aircraft   ,Pilot-In-Command    ,Tkof Advrse Wx Crash,Weather             ,Pilot-In-Command    ,                    ,Uncontroll Coll With,To Init Climb(1st Pw,                    ,Pilot Induced       ,Personal            ,None Or Other       ,IFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,RUDDER GUST LOCK ENGAGED ICE ON WINGS OVERWEIGHT
19,19770702018479A,RUDDER & AIL CTL CABLES LOOSE  right RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE ,II,V,27,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Control Coll With Gr,To Init Climb(1st Pw,                    ,Improper Maintenance,Personal            ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,RUDDER & AIL CTL CABLES LOOSE  right RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE 
20,19770814024089A,L MAG INOP #5 CYL COMPRESSION 25/80 ,AU,V,TO,Attempt Operation Wi,Other/Miscellaneous ,Pilot-In-Command    ,Delay Action In Abor,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Nose Up Or Over     ,To Init Climb(1st Pw,                    ,Pilot Induced       ,Personal            ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,L MAG INOP #5 CYL COMPRESSION 25/80 
21,19770530012939A,WRONG PROP INSTALLED,AU,E,61,Attempt Operation Wi,Emergency Landing   ,Pilot-In-Command    ,,                    ,                    ,                    ,Collision With Trees,To Init Climb(1st Pw,                    ,"Miscellaneous, Other",Personal            ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,WRONG PROP INSTALLED
22,19770528021299A,APRX 1/2 CUPFULL FLUID UNDER right BRAKE PRIOR TO DEPARTURE ,AU,V,32,Attempt Operation Wi,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Collision With Fence,Roll-Out (Fixed Wing,                    ,Pilot Induced       ,Personal            ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,APRX 1/2 CUPFULL FLUID UNDER right BRAKE PRIOR TO DEPARTURE 
23,19770705018649A,MIXTURE CONTROL BALL BEARING MISSING FROM HANDLE,AU,V,76,Attempt Operation Wi,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Collision With Wires,To Init Climb(1st Pw,                    ,Pilot And Maintenanc,Business            ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,MIXTURE CONTROL BALL BEARING MISSING FROM HANDLE
24,19770622022049A,OIL FILLER CAP MISSING ,II,V,72,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Collision With Trees,To Init Climb(1st Pw,                    ,Pilot Induced       ,Personal            ,None Or Other       ,VFR                 ,Frontal Activity    ,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,OIL FILLER CAP MISSING 
25,19770610021339A,aircraft 2807 & N7930C SUBSTANTIALLY DMGD  pilot CONTINUED TAXIING AFTER TOTAL HYD FAILURE ,EQ,V,29,Improper Operation E,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,A/C Collisions-On Gr,"Ground Taxi, Other A",                    ,Pilot Induced       ,Instruction         ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,aircraft 2807 & N7930C SUBSTANTIALLY DMGD  pilot CONTINUED TAXIING AFTER TOTAL HYD FAILURE 
26,19770622018359A,pilot DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE ,EQ,V,24,Improper Operation E,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Wheels-Up Landing   ,Roll-Out (Fixed Wing,                    ,Pilot And Maintenanc,Personal            ,None Or Other       ,VFR                 ,Heavy Snow          ,Night               ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,pilot DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE 
27,19770617020389A,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION ,II,E,  ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,,                    ,                    ,                    ,Hard Landing        ,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Personal            ,None Or Other       ,VFR                 ,Weather Not A Factor,Night               ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION 
28,19770530015519A,"CHOKER CABLE STILL CONNECTED TO CARGO HOOK DURING FLT, FREE TO TRAIL IN SLIPSTREAM, STRUCK T/R ",ME,V,  ,Fail/Incorrect Use M,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Collision With Other,Normal Cruise,                    ,Pilot Induced       ,Air Taxi (Non-Schedu,Helicopter External ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,ROTARY WING-HELI/GYROCOPTER   ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"CHOKER CABLE STILL CONNECTED TO CARGO HOOK DURING FLT, FREE TO TRAIL IN SLIPSTREAM, STRUCK T/R "
29,19770703018529A,OIL TEMP BULB RETAINING NUT FINGER TIGHT FIRST FLT AFTR ANNUAL ,II,E,79,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,,                    ,                    ,                    ,Nose Up Or Over     ,Climb,                    ,Inadequate Maintenan,Personal            ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,OIL TEMP BULB RETAINING NUT FINGER TIGHT FIRST FLT AFTR ANNUAL 
30,19770706020519A,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS WASHER CRACKED & SEPARATED FRM BOLT ,II,V,32,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Gear Collapse       ,Roll-Out (Fixed Wing,                    ,Design Of Aircraft  ,Instruction         ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS WASHER CRACKED & SEPARATED FRM BOLT 
31,19770912040629A,APRX 15LBS OVR MAX GWT ENG NOT FEATHERED AUTOFEATHER NOT CONNECTED 100 OCTANE FUEL ,AU,V,72,Attempt Operation Wi,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Control Coll With Gr,To Init Climb(1st Pw,                    ,Pilot And Maintenanc,Business            ,None Or Other       ,IFR                 ,Frontal Activity    ,Night               ,                    ,                    ,                    ,                    ,OVER 12500 LBS                ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,APRX 15LBS OVR MAX GWT ENG NOT FEATHERED AUTOFEATHER NOT CONNECTED 100 OCTANE FUEL 
32,19780106001449I,"EMERGENCY LANDING AFTER ENGINE QUIT  CAUSE WAS IMPROPER PREFLIGHT, OUT OF FUEL ",II,V,PF,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,Poor Preflight Plan,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Forced Landing      ,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Business            ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Discussion          ,Flight Personnel    ,Letter              ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,Unscheduled Landing ,                    ,                    ,                    ,"EMERGENCY LANDING AFTER ENGINE QUIT  CAUSE WAS IMPROPER PREFLIGHT, OUT OF FUEL "
33,19780110002479I,FORCED LANDING AFTER ENGINE QUIT  SUSPECT WATER IN FUEL ,II,V,  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Forced Landing      ,Final Approach,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,Descent Emergency   ,                    ,                    ,                    ,FORCED LANDING AFTER ENGINE QUIT  SUSPECT WATER IN FUEL 
34,19780112002729I,FORCED LANDING AFTER POWER LOSS  WATER FOUND IN FUEL ,II,E,28,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,,                    ,                    ,                    ,Forced Landing      ,Climb,                    ,Pilot And Maintenanc,Personal            ,Pleasure            ,Unknown             ,Weather Not A Factor,Day                 ,"FAA Sts, Policies Or",Other               ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,Unscheduled Landing ,                    ,                    ,                    ,FORCED LANDING AFTER POWER LOSS  WATER FOUND IN FUEL 
35,19780108002219I,FORCED LANDING AFTER ENGINE QUIT  FOUND FROZEN WATER IN FUEL SYSTEM ,II,V,28,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Forced Landing      ,Initial Approach-IFR,                    ,Pilot Induced       ,Instruction         ,Training            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,FORCED LANDING AFTER ENGINE QUIT  FOUND FROZEN WATER IN FUEL SYSTEM 
36,19780113002859I,"ABORTED TAKEOFF DUE TO UNLOCKED DOOR, UNABLE TO STOP BEFORE STRIKING SNOW BANK ",II,Q,  ,Inadequate Insp Of A,Snow Bank           ,Pilot-In-Command    ,,                    ,                    ,                    ,Collision With Other,To Aborted (Fixed Wi,                    ,Pilot Induced       ,Business            ,None Or Other       ,Unknown             ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"ABORTED TAKEOFF DUE TO UNLOCKED DOOR, UNABLE TO STOP BEFORE STRIKING SNOW BANK "
37,19780129004679I,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE  ICE RESTRICTION IN MAIN FUEL STRAINER ",II,E,  ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,,                    ,                    ,                    ,Forced Landing      ,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,Unscheduled Landing ,Declared Emergency  ,                    ,                    ,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE  ICE RESTRICTION IN MAIN FUEL STRAINER "
38,19780203005449I,SHORTLY AFTER CHANGING FUEL TANKS ONE ENGINE BECAME ROUGH AND WAS SHUT DOWN  HAD BEEN TOPPED OFF WITH JET FUEL ,II,E,72,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,,                    ,                    ,                    ,Forced Landing      ,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Dusk                ,"FAA Sts, Policies Or",Other               ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,Unscheduled Landing ,                    ,                    ,                    ,SHORTLY AFTER CHANGING FUEL TANKS ONE ENGINE BECAME ROUGH AND WAS SHUT DOWN  HAD BEEN TOPPED OFF WITH JET FUEL 
39,19780205005989I,"ENGINE VIBRATED, LOST POWER, THEN QUIT  CARBURETOR FLOAT BOWL CONTAMINATED WITH WATER ",II,E,73,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,,                    ,                    ,                    ,Forced Landing      ,Climb,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"ENGINE VIBRATED, LOST POWER, THEN QUIT  CARBURETOR FLOAT BOWL CONTAMINATED WITH WATER "
40,19780121004029I,GEAR SWITCH WAS NOT IN THE DOWN POSITION AND GEAR RETRACTED DURING TAKE OFF ROLL ,II,V,  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Gear Collapse       ,Takeoff Ground Roll,                    ,Pilot Induced       ,Personal            ,Pleasure            ,IFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Violation           ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,Rejected Takeoff    ,Runway Blocked      ,                    ,                    ,GEAR SWITCH WAS NOT IN THE DOWN POSITION AND GEAR RETRACTED DURING TAKE OFF ROLL 
41,19780130004789I,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE  GEAR RETRACTED ON TAKEOFF ROLL ,II,V,  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Gear Retr During Grd,Takeoff Ground Roll,                    ,Pilot Induced       ,Personal            ,Pleasure            ,Unknown             ,Weather Not A Factor,Day                 ,Flight Personnel    ,Violation           ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,Unscheduled Landing ,Unable/Unsafe To Tax,                    ,                    ,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE  GEAR RETRACTED ON TAKEOFF ROLL 
